Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,
2007-09-01,5762.75,6011.9501953125,5000.9501953125,5021.5,0
2007-12-01,5223.5,6357.10009765625,4448.5,5765.4501953125,0
2008-03-01,4870.10009765625,5298.85009765625,4468.5498046875,5222.7998046875,0
2008-06-01,4360.0,4908.7998046875,3790.199951171875,4869.25,0
2008-09-01,2755.10009765625,4558.0,2252.75,4356.10009765625,0
2008-12-01,2763.64990234375,3147.199951171875,2570.699951171875,2755.14990234375,0
2009-03-01,4448.9501953125,4509.39990234375,2539.449951171875,2764.60009765625,0
2009-06-01,4662.10009765625,4743.75,3918.75,4450.39990234375,0
2009-09-01,5032.7001953125,5181.9501953125,4538.5,4662.2001953125,0
2009-12-01,4922.2998046875,5310.85009765625,4675.39990234375,5039.7001953125,0
2010-03-01,5086.2998046875,5399.64990234375,4786.4501953125,4935.60009765625,0
2010-06-01,5402.39990234375,5549.7998046875,4961.0498046875,5086.25,0
2010-09-01,5862.7001953125,6338.5,5403.0498046875,5403.0498046875,0
2010-12-01,5333.25,6181.0498046875,5177.7001953125,5871.0,0
2011-03-01,5473.10009765625,5944.4501953125,5328.7001953125,5382.0,0
2011-06-01,5001.0,5740.39990234375,4720.0,5561.0498046875,0
2011-09-01,4832.0498046875,5399.7001953125,4640.9501953125,5109.7998046875,0
2011-12-01,5385.2001953125,5629.9501953125,4531.14990234375,4970.85009765625,0
2012-03-01,4924.25,5499.39990234375,4788.9501953125,5366.0,0
2012-06-01,5258.5,5448.60009765625,4770.35009765625,4910.85009765625,0
2012-09-01,5879.85009765625,5885.25,4888.2001953125,5276.5,0
2012-12-01,5693.0498046875,6111.7998046875,5671.89990234375,5878.25,4374300
2013-03-01,5985.9501953125,6229.4501953125,5477.2001953125,5702.4501953125,8681500
2013-06-01,5471.7998046875,6093.35009765625,5118.85009765625,5997.35009765625,11513000
2013-09-01,6176.10009765625,6332.60009765625,5318.89990234375,5480.25,11334600
2013-12-01,6276.9501953125,6415.25,5933.2998046875,6171.14990234375,9585400
2014-03-01,7229.9501953125,7563.5,6212.25,6264.35009765625,10808100
2014-06-01,7954.35009765625,7968.25,7239.5,7264.0498046875,9416700
2014-09-01,8588.25,8617.0,7723.85009765625,7990.35009765625,8326500
2014-12-01,8844.599609375,8996.599609375,7961.35009765625,8605.099609375,9952800
2015-03-01,8433.650390625,9119.2001953125,7997.14990234375,8953.849609375,10220800
2015-06-01,7971.2998046875,8654.75,7667.25,8417.25,10194000
2015-09-01,7935.25,8336.2998046875,7539.5,7907.9501953125,9669200
2015-12-01,6987.0498046875,7979.2998046875,6825.7998046875,7958.14990234375,11977800
2016-03-01,8160.10009765625,8213.599609375,7035.10009765625,7038.25,12709700
2016-06-01,8786.2001953125,8819.2001953125,7927.0498046875,8179.2001953125,11341300
2016-09-01,8224.5,8968.7001953125,7916.39990234375,8793.599609375,11651000
2016-12-01,8879.599609375,8982.150390625,7893.7998046875,8244.0,11526400
2017-03-01,9621.25,9649.599609375,8860.099609375,8904.400390625,12308100
2017-06-01,9917.900390625,10137.849609375,9448.75,9603.5498046875,11458400
2017-09-01,10226.5498046875,10490.4501953125,9687.5498046875,9937.650390625,13316500
2017-12-01,10492.849609375,11171.5498046875,10033.349609375,10263.7001953125,12454900
2018-03-01,10736.150390625,10929.2001953125,9951.900390625,10479.9501953125,14031000
2018-06-01,11680.5,11760.2001953125,10550.900390625,10738.4501953125,14255300
2018-09-01,10876.75,11751.7998046875,10004.5498046875,11751.7998046875,17501000
2018-12-01,10792.5,11118.099609375,10333.849609375,10930.7001953125,21268300
2019-03-01,11922.7998046875,12041.150390625,10817.0,10842.650390625,22019700
2019-06-01,11023.25,12103.0498046875,10637.150390625,11953.75,27929600
2019-09-01,12056.0498046875,12158.7998046875,10670.25,10960.9501953125,40849000
2019-12-01,11201.75,12430.5,11175.0498046875,12137.0498046875,33713400
2020-03-01,9580.2998046875,11433.0,7511.10009765625,11387.349609375,47715200
2020-06-01,11387.5,11794.25,9544.349609375,9726.849609375,45454500
2020-09-01,12968.9501953125,13145.849609375,10790.2001953125,11464.2998046875,37535500
2020-12-01,14529.150390625,15431.75,12962.7998046875,13062.2001953125,39511400
2021-03-01,15582.7998046875,15606.349609375,14151.400390625,14702.5,29091400
2021-06-01,17132.19921875,17153.5,15450.900390625,15629.650390625,20185800
2021-09-01,16983.19921875,18604.44921875,16782.400390625,17185.599609375,20459900
2021-12-01,16793.900390625,18350.94921875,16203.25,17104.400390625,16554900
2022-03-01,16584.55078125,18114.650390625,15671.4501953125,16593.099609375,19960800
2022-06-01,17759.30078125,17992.19921875,15183.400390625,16594.400390625,16578900
2022-09-01,18758.349609375,18816.05078125,16747.69921875,17485.69921875,16693400
2022-12-01,17303.94921875,18887.599609375,17255.19921875,18871.94921875,16059900
2023-03-01,18534.400390625,18662.44921875,16828.349609375,17360.099609375,15819500
2023-06-01,19253.80078125,19991.849609375,18464.55078125,18579.400390625,16974400
2023-09-01,20133.150390625,20222.44921875,18837.849609375,19258.150390625,14301000
2023-12-01,21982.80078125,22297.5,20183.69921875,20194.099609375,19674000
2024-03-01,22530.69921875,23110.80078125,21710.19921875,22048.30078125,19425500
2024-06-01,25235.900390625,25268.349609375,21281.44921875,23337.900390625,20328700
2024-09-01,24131.099609375,26277.349609375,23263.150390625,25333.599609375,18378200
2024-12-01,22124.69921875,24857.75,22104.849609375,24140.849609375,17273200
2025-03-01,22399.150390625,23869.599609375,21743.650390625,22194.55078125,9143800
2025-04-09,22399.150390625,22468.69921875,22353.25,22460.30078125,0
